FECHA_ACCIDENTE,GRAVEDAD_ACCIDENTE,CLASE_ACCIDENTE,CANT_HERIDOS_EN _SITIO_ACCIDENTE,CANT_MUERTOS_EN _SITIO_ACCIDENTE,CANTIDAD_ACCIDENTES,latitud,longitud
2015-01-07 08:10:00,Solo daños,Choque,0,0,1,10.9792101,-74.78515159999999
2015-01-07 09:10:00,Solo daños,Choque,0,0,1,10.948341,-74.7734581
2015-01-07 09:50:00,Solo daños,Choque,0,0,1,10.9745164,-74.810198
2015-01-07 10:30:00,Solo daños,Choque,0,0,1,10.9621184,-74.796774
2015-01-07 11:25:00,Con heridos,Volcamiento,2,0,1,10.9892645,-74.7826996
2015-01-07 11:45:00,Con heridos,Choque,2,0,1,10.9610069,-74.8078917
2015-01-07 12:10:00,Solo daños,Choque,0,0,1,10.9479443,-74.7850031
2015-01-08 13:30:00,Solo daños,Choque,0,0,1,10.9744088,-74.7898256
2015-01-08 14:00:00,Solo daños,Choque,0,0,1,10.9480524,-74.77538720000001
2015-01-08 15:20:00,Solo daños,Choque,0,0,1,10.9564096,-74.782281
2015-01-08 15:40:00,Solo daños,Choque,0,0,1,11.0133121,-74.82695919999999
2015-01-08 17:00:00,Con heridos,Choque,1,0,1,10.9869278,-74.7944055
2015-01-08 06:20:00,Solo daños,Choque,0,0,1,10.9654709,-74.79397639999999
2015-01-08 06:45:00,Solo daños,Choque,0,0,1,11.0093281,-74.81323110000001
2015-01-08 06:55:00,Solo daños,Choque,0,0,1,10.9765322,-74.8097839
2015-01-08 19:00:00,Solo daños,Choque,0,0,1,11.0161065,-74.7953998
2015-01-08 19:20:00,Solo daños,Choque,0,0,1,10.9900592,-74.8079934
2015-01-08 21:10:00,Con heridos,Choque,1,0,1,10.9611545,-74.7917569
2015-01-08 23:00:00,Solo daños,Choque,0,0,1,10.9853111,-74.81112689999999
2015-01-08 11:10:00,Con heridos,Choque,1,0,1,10.9783028,-74.8361855
2015-01-08 11:30:00,Solo daños,Choque,0,0,1,11.0012906,-74.79840089999999
2015-01-09 15:10:00,Solo daños,Choque,0,0,1,11.0088421,-74.8182028
2015-01-09 16:50:00,Solo daños,Choque,0,0,1,11.0070653,-74.8152044
2015-01-09 17:40:00,Solo daños,Choque,0,0,1,11.0017022,-74.81262459999999
2015-01-09 18:00:00,Solo daños,Choque,0,0,1,10.9857315,-74.7769683
2015-01-09 18:10:00,Solo daños,Choque,0,0,1,10.9859142,-74.83411029999999
2015-01-09 18:20:00,Solo daños,Choque,0,0,1,10.9703073,-74.7743478
2015-01-09 07:52:00,Solo daños,Choque,0,0,1,10.9595898,-74.774738
2015-01-09 08:50:00,Solo daños,Choque,0,0,1,10.9483105,-74.7999288
2015-01-09 09:00:00,Solo daños,Choque,0,0,1,11.0061612,-74.81332689999999
2015-01-09 10:15:00,Solo daños,Choque,0,0,1,10.9725786,-74.78171259999999
2015-01-09 11:00:00,Solo daños,Choque,0,0,1,11.013246,-74.8365851
2015-01-09 11:25:00,Solo daños,Choque,0,0,1,10.9791081,-74.7696478
2015-01-10 13:00:00,Con heridos,Choque,2,0,1,10.9683261,-74.8380514
2015-01-10 13:40:00,Solo daños,Choque,0,0,1,10.9392153,-74.7891994
2015-01-10 14:10:00,Solo daños,Choque,0,0,1,11.0181679,-74.8232252
2015-01-10 15:10:00,Solo daños,Choque,0,0,1,10.994006,-74.8144662
